Sl No ,REGISTERED DISTRICT ,Registered PS ,FIR No. ,TRANSFERRED DISTRICT ,Transferred PS ,Re registered FIR No. ,Reason for transferring FIR 
146,GRP BALLIYA ,0004/2015 ,GHAZIPUR ,GRP GHAZIPUR ,,घटनास्थल के आधार पर ,
,,,,,,,
147,GRP BALLIYA ,1016/2016 ,GHAZIPUR ,GRP GHAZIPUR ,,घटना स्थल जीआरपी क्षेत्र होने के कारण ,
,,,,,,,
148,PAKARI ,0202/2016 ,BALLIA ,PAKARI ,,जााँच अमधकारी की id न बनने के कारण ,
,,,,,,,
149,RASRA ,0325/2015 ,BALLIA ,NAGRA ,,श्रीिान क्षेत्रामधकारी िहोिय के आिेश के अनुसार ,
,,,,,,,
150,SAHATWAR ,0000/2015 ,BALLIA ,GRP BALLIYA ,0099/2016 ,घटनास्थल GRP बमलया से सम्बन्न्धत ,
,,,,,,,
151,GRP BALLIYA ,1010/2017 ,GHAZIPUR ,GRP GHAZIPUR ,,घटना स्थल थाना जीआरपी क्षेत्र गाजीपुर मसटी का होना पाया गया ,
,,,,,,,
152,UBHAON ,0573/2017 ,BALLIA ,MANIAR ,0511/2017 ,आिेश उच्चामधकारीयों ,
,,,,,,,
153,GRP BALLIYA ,0002/2015 ,FAIZABAD ,GRP FAIZABAD ,,घटनास्थल क्षेत्रामधकार जी0आर0पी0 फै जाबाि का होने के कारण ,
,,,,,,,
154,GRP BALLIYA ,0006/2015 ,FAIZABAD ,GRP FAIZABAD ,,घटनास्थल के आधार पर ,
,,,,,,,
155,GRP BALLIYA ,1002/2016 ,ALLAHABAD ,GRP ALLAHABAD ,,घटनास्थल के आधार पर ,
,,,,,,,
156,GRP BALLIYA ,1005/2016 ,ALLAHABAD ,GRP ALLAHABAD ,,घटनास्थल जी0आर0पी0 इलाहाबाि का होने के कारण ,
,,,,,,,
157,GRP BALLIYA ,1010/2016 ,ALLAHABAD ,GRP ALLAHABAD ,,घटना स्थल थानाक्षेत्र जीआरपी इलाहाबाि का होना पाया गया। ,
,,,,,,,
158,GRP BALLIYA ,0000/2015 ,ALLAHABAD ,GRP ALLAHABAD ,,घटनास्थल क्षेत्रामधकार जी0आर0पी0 इलाहाबाि होने के कारण ,
,,,,,,,
159,GRP BALLIYA ,0007/2015 ,BARABANKI ,GRP BARABANKI ,,घटनास्थल के आधार पर ,
,,,,,,,
160,GRP BALLIYA ,0003/2015 ,MORADABAD ,GRP MORADABAD ,0516/2015 ,घटनास्थल क्षेत्रामधकार जी0आर0पी0 िुरािाबाि का होने के कारण ,
,,,,,,,
161,GRP BALLIYA ,0001/2015 ,MORADABAD ,GRP MORADABAD ,0495/2015 ,घटनास्थल क्षेत्रामधकार जी0आर0पी0 िुरािाबाि होने के कारण ,
,,,,,,,
162,GRP BALLIYA ,1019/2016 ,MAU ,GRP MAU ,,घटना थानाक्षेत्र जीआरपी िऊ होना पाया गया। ,
,,,,,,,
163,GRP BALLIYA ,1022/2016 ,MAU ,GRP MAU ,0985/2016 ,घटना थाना क्षेत्र जीआरपी िऊ ,
,,,,,,,
164,GRP BALLIYA ,1013/2017 ,VARANASI ,GRP VARANASI CANTT. ,,घटना स्थल थाना जीआरपी क्षेत्र वाराणसी कै ण्ट का होना पाया गया। ,
,,,,,,,
165,GRP BALLIYA ,1003/2017 ,VARANASI ,GRP VARANASI CANTT. ,,घटना थाना जीआरपी वाराणसी कै ण्ट का होना पाया गया। ,
,,,,,,,
166,GRP BALLIYA ,1009/2017 ,VARANASI ,GRP VARANASI CANTT. ,,घटना थाना जीआरपी कै ण्ट का होना पाया गया। ,
,,,,,,,
167,GRP BALLIYA ,1017/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटना स्थल जीआरपी वाराणसी कै ण्ट क्षेत्र होने के कारण ,
,,,,,,,
168,GRP BALLIYA ,1023/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटना स्थल थानाक्षेत्र जीआरपी कै ण्ट को होना पाया गया। ,
,,,,,,,
169,GRP BALLIYA ,0008/2015 ,VARANASI ,GRP VARANASI CANTT. ,,घटनास्थल के आधार पर ,
,,,,,,,
170,GRP BALLIYA ,1004/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटनास्थल जी0आर0पी0 वाराणसी कै ण्ट का होने के कारण ,
,,,,,,,
171,GRP BALLIYA ,1007/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटनास्थल के आधार पर ,
,,,,,,,
172,GRP BALLIYA ,0005/2015 ,AMBEDKAR NAGAR ,GRP AKBARPUR ,,घटनास्थल के आधार पर ,
,,,,,,,
173,GRP BALLIYA ,1020/2016 ,AMBEDKAR NAGAR ,GRP AKBARPUR ,,घटना स्थल रेलवे स्टेशऩ फैजाबाि व रेलवे स्टेशन अकबरपुर के िध्य होने के कारण ,
,,,,,,,
174,GRP BALLIYA ,1005/2017 ,AMBEDKAR NAGAR ,GRP AKBARPUR ,,घटना थानाक्षेत्र जीआरपी अकबरपुर का होना पाया गया। ,
,,,,,,,
175,BANDA ,BABERU ,0241/2017 ,BANDA ,MARKA ,,िाल बराििगी से सम्बन्न्धत िुकििा थाना िरका िें पंजीकृत होने के कारण 
,,,,,,,
176,GIRWAN ,0629/2015 ,BANDA ,NARAINI ,9995/2015 ,जांच की संतुबि न होने के कारण ,
,,,,,,,
177,BABERU ,0171/2017 ,BALRAMPUR ,TULSIPUR ,,थाना बबेरु जनपि बााँिा िारा पंजीकृ त ि0ु अ0स0ं 171/17 की बववेचना वयान वाहिनी से घटना स्थल ग्राि बवजयीडीह थाना तुलसीपुर जनपि बलरािपुर का होना पाये जाने के कारण उक्त िुकििें की अमग्रि बववेचना थाना तुलसीपुर जनपि बलरािपुर से कराये जाने के कारण बववेचना स्थानांतररत ,
,,,,,,,
178,BARABANKI ,RAM SANEHIGHAT ,0000/2016 ,BARABANKI ,KOTWALI ,,घटनास्थल थाना कोतवाली नगर क्षेत्र का होने के कारण अमभयोग थाना कोतवाली को स्थानान्तररत हकया जा रहा है 
,,,,,,,
179,SAFDARGANJ ,0030/2016 ,BARABANKI ,SAFDARGANJ ,,थानाध्यक्ष िारा ,
,,,,,,,
180,BAREILLY ,CANTT ,0183/2016 ,AGRA ,RAKABGANJ ,,"घटना स्थल थाना रकाबगंज, जनपि आगरा का होना के कारण "
,,,,,,,
181,CANTT ,0188/2016 ,AGRA ,RAKABGANJ ,,"घटना स्थल थाना रकाबगंज, जनपि आगरा का होना के कारण ",
,,,,,,,
182,SUBHASH NAGAR ,1191/2015 ,BALLIA ,HALDI ,,iuyiopljkulok ,
,,,,,,,
183,BAHERHI ,0172/2015 ,BAREILLY ,DEORANIA ,,3 up gund adhiniyam ,
,,,,,,,
184,IZAT NAGAR ,0191/2015 ,BAREILLY ,IZAT NAGAR ,,cs ke liye ,
,,,,,,,
185,IZAT NAGAR ,0245/2015 ,BAREILLY ,IZAT NAGAR ,,cs ke liye transfer nhi ho rhi h ,
,,,,,,,
186,SUBHASH NAGAR ,7001/2017 ,BAREILLY ,CANTT ,,घटना क्षेत्र थाना कैं ट का होने के कारण ,
,,,,,,,
187,BASTI ,CHHAWANI ,0278/2015 ,BASTI ,CHHAWANI ,,अन्य थाने पर स्थानन्तरण हो जाने के कारण 
,,,,,,,
,,,,,,,
BASTI ,,,,,,,
,,,,,,,
188,,HARRAIYA ,7001/2017 ,BASTI ,CHHAWANI ,,िहोिय उक्त घटनास्थल थाना छावनी जनपि बस्ती के अन्तगतट पङता है न्जसके कारण से उक्त िुकििे को थाना छावनी जनपि बस्ती स्थानान्तरण हकया जा रहा है। 
,,,,,,,
189,KAPTANGANJ ,0425/2017 ,BASTI ,PAIKAULIA ,,घटना स्थल थाना पैकोमलया जनपि बस्ती का होने के कारण ,
,,,,,,,
190,RUDHAULI ,6000/2017 ,BASTI ,GRP BASTI ,,सम्बन्न्धत िुकििे िे घटना स्थल रेलवे स्टेशन बस्ती का होना पाया गया। मनयिानुसार बववेचना GRP बस्ती से होना आवश्यक है। अतः िुकििा GRP बस्ती को स्थानान्तररत हकया गया। ,
,,,,,,,
191,KOTWALI ,0642/2015 ,AMBEDKAR NAGAR ,AKBARPUR ,,घटना स्थल थाना अकबरपुर जनपि अम्बेडकर नगर होने के कारण ,
,,,,,,,
192,BHADOHI ,AURAI ,0276/2016 ,JAUNPUR ,JALALPUR ,,चहू क घटना स्थल थाना जलालपुर न्जला जौनपुर की है अतः अपराध का स्थानान्तरण बववेचना हेतु हकया जा रहा है 
,,,,,,,
193,CHAURI ,0076/2016 ,JAUNPUR ,SURERI ,,ि0ु उपरोक्त की घटना ग्राि सुरेरी थाना सुरेरी जनपि जौन पुर िे होने के कारण ,
,,,,,,,
194,CHAURI ,0079/2016 ,JAUNPUR ,SURERI ,,ि0ु उपरोक्त की घटना का सम्बन्ध ग्राि िलेथू थाना सुरेरी जनपि जौन पुर होने के कारण ,
,,,,,,,
195,KOIRAUNA ,0060/2015 ,ALLAHABAD ,SARAI INAYAT ,,घटना स्थल वहा का होने के कारण ,
,,,,,,,
196,KOIRAUNA ,0160/2016 ,ALLAHABAD ,CIVIL LINES ,,घटना मसबवल लाइन के पास की है ,
,,,,,,,
197,KOIRAUNA ,0011/2016 ,MIRZAPUR ,LALGANJ ,,घटना स्थल लालगंज होने के कारण ,
,,,,,,,
198,CHAURI ,0015/2016 ,VARANASI ,MANDUADEEH ,0090/2016 ,घटना का सम्बन्ध थाना िडुआडीह वाराणसी से होने के कारण ,
,,,,,,,
199,AURAI ,0096/2016 ,BHADOHI ,KOIRAUNA ,0048/2016 ,घटना स्थल थाना कोइरौना जनपि भिोही िें होने के कारण बववेचना स्थानान्तररत की जाती है । ,
,,,,,,,
200,BHADOHI ,0572/2015 ,BHADOHI ,BHADOHI ,,new beginning mistake ,
,,,,,,,
201,GOPIGANJ ,0387/2016 ,BHADOHI ,UNJ ,,बववेचना वहा से होने के कारण ,
,,,,,,,
202,GOPIGANJ ,0068/2017 ,BHADOHI ,SURIYAVAN ,0073/2017 ,घटना स्थल सुररयााँवा होने के कारण ,
,,,,,,,
203,GOPIGANJ ,0070/2017 ,BHADOHI ,SURIYAVAN ,0074/2017 ,घटना स्थल थाना सुररयााँवा होने के कारण ,
,,,,,,,
204,KOIRAUNA ,0101/2015 ,BHADOHI ,GOPIGANJ ,,घटना स्थल वहााँ का होने के कारण ,
,,,,,,,
205,KOIRAUNA ,0106/2016 ,BHADOHI ,GYANPUR ,,घटना स्थल ज्ञानपुर िे होने के कारण ,
,,,,,,,
206,UNJ ,0070/2015 ,BHADOHI ,UNJ ,,बववेचक की आईडी िे िुकििा शो न करने के कारण ,
,,,,,,,
207,BIJNOR ,GRP NAJIBABAD ,0249/2017 ,MORADABAD ,GRP MORADABAD ,,घटना स्थल जीआरपी िुरािाबाि होने के कारण 
,,,,,,,
208,AFZALGARH ,0009/2017 ,BIJNOR ,DHAMPUR ,,उक्त अ0 स0ं की घटना थाना धािपुर की हैं ,
,,,,,,,
209,DHAMPUR ,0148/2015 ,BIJNOR ,NEHTAUR ,,श्रीिान एसएचओ िहोिय के आिे शानुसार ,
,,,,,,,
210,DHAMPUR ,0518/2015 ,BIJNOR ,AFZALGARH ,,श्रीिान पुमलस अधीक्षक िहोिय के आिे शानुसार ,
,,,,,,,
211,BULANDSHAHAR ,SHIKARPUR ,0069/2015 ,BULANDSHAHAR ,PAHASU ,,coshikharpurके आिेशानुसार 
,,,,,,,
212,SHIKARPUR ,0070/2015 ,BULANDSHAHAR ,AHMEDGARH ,,coshikharpurके आिेशानुसार ,
,,,,,,,
213,GULAOTHI ,6998/2017 ,HAPUR ,HAPURNAGAR ,,सीआर 26ए(बुलन्िशहर 16) /17/15075 ,
,,,,,,,
214,CHANDAULI ,BALUA ,0093/2015 ,JAUNPUR ,CHANDAWAK ,,िुकििें का सम्बन्ध थाना चिं वक जनपि जौनपुर हो होना 
,,,,,,,
215,ALI NAGAR ,0154/2015 ,ALLAHABAD ,DHOOMANGANJ ,,घटना स्थल धिू नगंज का होना पाया गया ,
,,,,,,,
216,CHAKIYA ,0008/2017 ,MIRZAPUR ,KOTWALI CITY ,,घटना स्थल कोतवाली मसटी मिजापट ुर क्षेत्र िें आने के कारण स्थानान्तरण का हिनांक 16.01.2017 ,
,,,,,,,
217,CHAKIYA ,0085/2017 ,MIRZAPUR ,JAMALPUR ,,घटना स्थल जिालपुर थाना क्षेत्र िें आने के कारण ,
,,,,,,,
218,SAKALDEEHA ,0154/2016 ,VARANASI ,JANSA ,,उक्त िुकििें का सम्बन्ध भ्र0मन0 वाराणसी से है ,
,,,,,,,
219,SYED RAZA ,0340/2015 ,VARANASI ,CANTT ,,घटना स्थल थाना कैं ट वाराणसी का होना पाया गया ,
,,,,,,,
220,ELIYA ,0004/2016 ,VARANASI ,LANKA ,,कृ पया अवगत कराना है की ि0ु अ0स004/16 धारा 411 ipc थाना इमलया पर पंजीकृत हुआ था बववेचना िे पाया गया की घटना स्थल थाना लकां वाराणसी पाया गया उक्त िुकििे को पुमलस उपिहामनरीक्षक वाराणसी के पत्र स0ं स्तानान्तरण 66/16 हि0 07/12/16 िारा बववेचना स्थानान्तरण हकये जाने की अनुिमत प्रिान की गयी ,
,,,,,,,
221,KANDAWA ,0003/2016 ,VARANASI ,JANSA ,,आथीक अनुसंधान वाराणसी ,
,,,,,,,
222,ALI NAGAR ,0223/2015 ,VARANASI ,CANTT ,,घटना स्थल थाना कैं ट का पाया गया ,
,,,,,,,
223,ALI NAGAR ,0009/2016 ,VARANASI ,JANSA ,,घटना स्थल जंसा का पाया गया ,
,,,,,,,
224,ALI NAGAR ,0129/2017 ,VARANASI ,BARAGAON ,,घटना स्थल बडागााँ का पाया गया ,
,,,,,,,
225,CHANDAULI ,0312/2015 ,VARANASI ,LANKA ,,घटना स्थल लंका थाना का है इसमलये लंका थाना पर स्थानान्तररत हो रहा है। ,
,,,,,,,
226,CHANDAULI ,0149/2016 ,VARANASI ,JANSA ,,स्थानान्तरण सतकटता अमधष्ठान वाराणसी ,
,,,,,,,
227,CHANDAULI ,0165/2016 ,VARANASI ,JANSA ,,स्थानान्तरण थाना औरंगाबाि बबहार हिनााँक 7.8.16 ,
,,,,,,,
228,CHANDAULI ,0412/2015 ,VARANASI ,KOTWALI ,,घटना स्थल थाना कोतवाली जनपि वाराणसी का होना पाया गया ,
,,,,,,,
229,CHANDAULI ,0417/2016 ,VARANASI ,SIGRA ,,घटना स्थल थाना मसगरा जनपि वाराणसी का होना पाया गया ,
,,,,,,,
230,DHINA ,0072/2016 ,VARANASI ,CANTT ,,िुकििें का संबंध थाना कैंट वाराणसी से होने के कारण ,
,,,,,,,
231,MUGHAL SARAI ,0153/2017 ,VARANASI ,ROHANIYA ,,घटना स्थल रोहमनय थाना के अन्तगतट आने के कारण ,
,,,,,,,
232,ALI NAGAR ,0218/2017 ,CHANDAULI ,SAKALDEEHA ,,घटना स्थल थाना सकलडीहा का पाया गया। एवं आिेशानुसार पुमलस अधीक्षक िहोिय चन्िौली ,
,,,,,,,
233,BABURI ,0094/2014 ,CHANDAULI ,BABURI ,,SOिहोिय के आिेश से ,
,,,,,,,
234,CHANDAULI ,0101/2015 ,CHANDAULI ,SAKALDEEHA ,,घटना स्थल थाना सकलडीहा का होना पाया गया ,
,,,,,,,
235,CHANDAULI ,7001/2016 ,CHANDAULI ,KANDAWA ,,उपरोक्त ि0ु थाना कन्िवा से सम्बन्न्धत होने के कारण स्थानान्तररत हकया जा रहा है। ,
,,,,,,,
236,DHINA ,0072/2015 ,CHANDAULI ,KANDAWA ,,िुकििें का सम्बन्ध उक्त थाने से होने के कराण ,
,,,,,,,
237,DHINA ,0073/2015 ,CHANDAULI ,KANDAWA ,,िुकििें का सम्बन्ध उक्त थाने से होने के कारण ,
,,,,,,,
238,DHINA ,0128/2016 ,CHANDAULI ,SYED RAZA ,,िुकििें का सम्बन्ध उक्त थाने से होने के कारण ,
,,,,,,,
239,CHITRAKOOT ,KARVI KOTWALI NAGAR ,0222/2016 ,BANDA ,BABERU ,0173/2016 ,बववेचना स्थानान्तरण होने के कारण 
,,,,,,,
240,MANIKPUR ,0040/2017 ,BANDA ,NARAINI ,0104/2017 ,घटना स्थल नरैनी जपनि बांिा की होने के कारण ,
,,,,,,,
241,PAHARI ,0048/2017 ,CHITRAKOOT ,RAJAPUR ,,BY ORDER COR ,
,,,,,,,
242,KARVI KOTWALI NAGAR ,0272/2015 ,CHITRAKOOT ,KARVI KOTWALI NAGAR ,,एफआईआर बववेचक की आईडी िें ट्रान्सफर न हो पाने के कारण ,
,,,,,,,
243,PAHARI ,0104/2015 ,CHITRAKOOT ,PAHARI ,,shoidसे iiif2345को भरा नही जा सकता ,
,,,,,,,
244,PAHARI ,0112/2015 ,CHITRAKOOT ,KARVI KOTWALI NAGAR ,,घटना स्थल कोतवाली कवी नगर क्षेत्र का होने के कारण ,
,,,,,,,
245,DEORIA ,GRP DEORIA ,0161/2017 ,BASTI ,GRP BASTI ,0586/2017 ,घटनास्थल होने के कारण 
,,,,,,,
246,GRP DEORIA ,0029/2016 ,BASTI ,GRP BASTI ,0088/2016 ,घटना स्थल होने के कारण ,
,,,,,,,
247,GRP DEORIA ,6990/2016 ,BASTI ,GRP BASTI ,,बववेचना से घटना स्थल जी0आर0पी0 चौकी खलीलाबाि रेलवे स्टेशन पाया गया ,
,,,,,,,
248,GRP BHATNI ,9997/2017 ,BASTI ,GRP BASTI ,0478/2017 ,घटना स्थल अन्तगतट थाना grp बस्ती होने के कारण ,
,,,,,,,
249,GRP DEORIA ,6994/2016 ,GONDA ,GRP GONDA ,,बववेचना से घटना स्थल थाना जी0आर0पी0गोण्डा का पाया गया ,
,,,,,,,
250,GRP DEORIA ,0175/2017 ,GONDA ,GRP GONDA ,,घटनास्थल होने के कारण ,
,,,,,,,
251,RUDRAPUR ,0206/2016 ,DEORIA ,GAURIBAZAR ,,श्रीिान् क्षेत्रामधकारी रूरपुर के आिेश के अनुपालन िे ,
,,,,,,,
252,RUDRAPUR ,0254/2016 ,DEORIA ,KOTWALI ,,घटनास्थल कोतवाली सिर िेवररया होने के कारण ,
,,,,,,,
253,RUDRAPUR ,0318/2016 ,DEORIA ,MADANPUR ,,प्रमतवािी ििनुपर से संबंमधत है ,
,,,,,,,
254,RUDRAPUR ,0366/2016 ,DEORIA ,GAURIBAZAR ,,श्रीिान ् पुमलस अधीक्षक िहोिय के आिे शानुसार सम्बन्न्धत प्रकरण की मनष्पक्ष बववेचना हेतु स्थानांतररत हकया गया ,
,,,,,,,
255,,RUDRAPUR ,0430/2016 ,DEORIA ,GAURIBAZAR ,,श्रीिान् क्षेत्रामधकारी िहोिय रूरपुर के आिेश के अनुपालन िे हि0 22.11.16 को िुकििा का स्थानांतरण थाना रूरपुर से थाना गौरीबाजार स्थानांतररत हकया गया 
,,,,,,,
256,GRP DEORIA ,9996/2016 ,DEORIA ,KOTWALI ,,घटनास्थल होने के कारण ,
,,,,,,,
257,GRP DEORIA ,6994/2017 ,DEORIA ,KOTWALI ,,घटना स्थल होने के कारण ,
,,,,,,,
258,GRP DEORIA ,0041/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल होने के कारण ,
,,,,,,,
259,GRP DEORIA ,6991/2017 ,JHANSI ,GRP JHANSI ,,बववेचना से घटना स्थल थाना जी0आर0पी0 झांसी का होना पाया गया ,
,,,,,,,
260,GRP DEORIA ,0114/2016 ,MIRZAPUR ,GRP MIRZAPUR ,,घटना स्थल होने के कारण ,
,,,,,,,
261,GRP BHATNI ,9998/2016 ,VARANASI ,GRP VARANASI CANTT. ,,चहू क घटना स्थल रे0स्टे0 वाराणसी कै ण्ट का है ,
,,,,,,,
262,GRP DEORIA ,0391/2015 ,MAU ,GRP MAU ,,घटना स्थल होने के कारण ,
,,,,,,,
263,GRP DEORIA ,0042/2016 ,MAU ,GRP MAU ,,घटना स्थल होने के कारण ,
,,,,,,,
264,GRP DEORIA ,6986/2016 ,MAU ,GRP MAU ,,घटनास्थल होने के कारण ,
,,,,,,,
265,GRP DEORIA ,6995/2016 ,MAU ,GRP MAU ,,बववेचना से घटना स्थल थाना जी0आर0पी0 िउ होना पाया गया ,
,,,,,,,
266,GRP DEORIA ,9998/2016 ,MAU ,GRP MAU ,,घटना स्थल इन्िारा जंक्सन होले के कारण ,
,,,,,,,
267,GRP DEORIA ,6998/2017 ,MAU ,GRP MAU ,,घटनास्थल होने के कारण ,
,,,,,,,
268,GRP BHATNI ,9993/2016 ,MAU ,GRP MAU ,1084/2016 ,घटना स्थल रे0स्टे0 पनीयरा थाना GRPिऊ से सम्बन्न्धत होने के कारण ,
,,,,,,,
269,GRP DEORIA ,6982/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल थाना जी0आर0पी0 गोरखपुर का होने के कारण ,
,,,,,,,
270,GRP DEORIA ,6987/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटनास्थल होने के कारण ,
,,,,,,,
271,GRP DEORIA ,6989/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटनास्थल होने के काऱण ,
,,,,,,,
272,GRP DEORIA ,6991/2016 ,GORAKHPUR ,CANTT ,,घटनास्थल का पाया जाना। ,
,,,,,,,
273,GRP DEORIA ,9999/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,बववेचना से घटना स्थल थाना जी0आर0पी0 गोरखपुर का होना पाया गया ,
,,,,,,,
274,GRP DEORIA ,6995/2017 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल होने के कारण ,
,,,,,,,
275,GRP BHATNI ,0000/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल थाना जी0आर0पी0 गोरखपुर का होने के कारण ,
,,,,,,,
276,GRP BHATNI ,9994/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल रे0स्टे0GRP गोरखपुर PF न0 7 होने के कारण ,
,,,,,,,
277,GRP BHATNI ,9996/2016 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल गोरखपुर रे0स्टे0 का होने के कारण ,
,,,,,,,
278,GRP DEORIA ,0117/2016 ,SANT KABEER NAGAR ,KHALILABAD ,,घटना स्थल होने के कारण ,
,,,,,,,
279,GRP BHATNI ,9997/2016 ,FIROZABAD ,GRP TUNDLA JUNCTION ,,चहुाँ क घटना स्थल GRP टुण्डला का है। अतः FIR स्थानान्तररत की जाती है। ,
,,,,,,,
280,GRP BHATNI ,9995/2016 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल रे0स्टे0बािशाहनगर से सम्बन्न्धत होने के कारण ,
,,,,,,,
281,GRP BHATNI ,0000/2017 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटनास्थलअन्तगतट थानाGRPचारबागलखनऊकाहोनेके कारण ,
,,,,,,,
282,ETAH ,ALIGANJ ,0105/2015 ,ETAH ,RAJA KA RAMPUR ,,घटना स्थल थाना राजा का रािपुर होने के कारण 
,,,,,,,
283,MARHARA ,0295/2016 ,ETAH ,MIRHACHI ,,आिेश श्रीिान क्षेत्रामधकारी सिर िहोिय जनपि एटा ,
,,,,,,,
284,JALESAR ,0345/2016 ,ETAH ,SAKRAULI ,,अमभयोग की बववेचना थाना सकरौली िारा की जा रही है ,
,,,,,,,
285,JALESAR ,0712/2016 ,AGRA ,CHHATTA ,,बववेचना का सम्बन्ध थाना छत्ता जनपि आगरा से होने के कारण ,
,,,,,,,
286,KOTWALI ,1281/2016 ,AGRA ,SIKANDARA ,,श्रीिान पुमलस उप िहामनरीक्षक के आिेशानुसार थाना मसकन्िरा पर पंजीकृ त ि0ु अ0स0ं 810/16 धारा 379 भािबव िें सिायोन्जत कर अमग्रि बववेचना थाना मसकन्िरा से की जायेगी ,
,,,,,,,
287,MARHARA ,0017/2016 ,AGRA ,ETMADPUR ,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशानुशार आिेश स0 सीओरएएचआर एटा बववे0 स्था0 06/2016/2055 हि0 26.02.2016 ,
,,,,,,,
288,MARHARA ,0149/2016 ,ALIGARH ,KOTWALI NAGAR ,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशानुसार आिेश स0 सीओएएच आर एटा बववे0स्था0 13/2016/6148 हि0 28.06.2016 के अनुपालन िे ,
,,,,,,,
289,PILUA ,0160/2015 ,ALIGARH ,AKRABAD ,,"पत्र संख्या अ 556/15 (अपराध) हिनांक अगस्त 17, 2015 श्रीिान ् वररष्ठ पुमलस अधीक्षक जनपि एटा िारा श्रीिान ् वररष्ठ पुमलस अधीक्षक अलीगढ़ को सूचनाथ।ट ",
,,,,,,,
290,NAYAGAON ,0046/2016 ,FATEHGARH ,MERAPUR ,,घटना स्थल थाना िेरापुर न्जला फरूट खाबाि का होने पर ,
,,,,,,,
291,ALIGANJ ,0536/2014 ,FATEHGARH ,FATEHGARH KOTWALI ,,घटना स्थल फरूटखाबाि का होने का कारण ,
,,,,,,,
292,PILUA ,0322/2015 ,BARABANKI ,MOHAMMADPUR KHALA ,,"पत्र स0ं अ 572/15(अपराध) हिनांक हिसम्बर 11, 2015 श्रीिान ् वररष्ठ पुमलस अधीक्षक जनपि एटा िारा श्रीिान ् वररष्ठ पुमलस अधीक्षक बाराबंकी को सूचनाथ।ट ",
,,,,,,,
293,AWAGARH ,0389/2015 ,KANPUR DEHAT ,SIKANDARA ,,"ि0ु अ0स0ं 389/15 धारा 41/102 CrPC, 411 IPC िें बरािि ट्रेक्टर थाना मसकन्िरा से चोरी हकया गया था न्जसके सम्बन्ध िें थाना मसकन्िरा न्जला कानपुर िेहात िें ि0ु अ0स0ं 226/17 धारा 379 IPC पंजीकृत है बरािि ट्रेक्टर को थाना मसकन्िरा के ि0ु अ0स0ं 226/17 क े ब व व े च क क े ह व ा ल े ह क य ा ग य ा त थ ा ि 0ु अ 0 स 0ं 3 8 9 / 1 5 ध ा र ा 41/102 CrPC, 411 IPC की बववेचना थाना मसकन्िरा स्थानान्तरण",
,,,,,,की गयी है ,
,,,,,,,
294,JALESAR ,0764/2016 ,HATHRAS ,HATHRAS JUNCTION ,,बववेचना का सम्बन्ध थाना हाथरस जंक्शन जनपि हाथरस से होने के कारण ,
,,,,,,,
295,MARHARA ,0266/2015 ,HATHRAS ,SIKANDRA RAO ,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशा के अनुपालन िे आिेश स0पत्रांक सीओएएच आर एटा मनन0े स्था0 15/2015/553 हि0 18/8/2015 ,
,,,,,,,
296,MARHARA ,0483/2015 ,HATHRAS ,HATHRAS JUNCTION ,,आिेश श्रीिान उपिहामनरीक्षक अलीगढ के आिेशानुसार आिेश स0 सीओएएचआर एटा बववे0 अनु0 031/2016/774 हि0 20.1.2016 ,
,,,,,,,
297,PILUA ,0190/2015 ,KASGANJ ,KASGANJ ,,श्रीिान् उप िहामनरीक्षक अलीगढ़ पररक्षेत्र अलीगढ़ के आिेश संख्या सीओएएच आर एटा (बववे. स्था. 05)/2015/15621 हिनांक 10.10.2015 के िारा बववेचना जनपि एटा से क्राइि ब्रान्च जनपि कासगंज स्थानान्तररत करने हेतु। पत्रांक अ 566/2015 हिनांक 23.10.15 ,
,,,,,,,
298,ALIGANJ ,0333/2015 ,KASGANJ ,KASGANJ ,,घटना स्थल जनपि कासगंज कोतवाली कासगंज का होने के कारण ,
,,,,,,,
299,SAKEET ,0286/2015 ,AURAIYA ,AIRWA KATRA ,,थाना से सम्बन्न्धत ,
,,,,,,,
