Sl No,REGISTERED DISTRICT,Registered PS,FIR No.,TRANSFERRED DISTRICT,Transferred PS,Re registered FIR No.,Reason for transferring FIR,Location,Latitude,Longitude
174,GRP BALLIYA,AMBEDKAR NAGAR,1005/2017,GRP AKBARPUR,,घटना थानाक्षेत्र जीआरपी अकबरपुर का होना पाया गया।,,"GRP BALLIYA ,AMBEDKAR NAGAR ",26.3745075,82.6915429
176,GIRWAN,BANDA,0629/2015,NARAINI,9995/2015,जांच की संतुबि न होने के कारण,,"GIRWAN ,BANDA ",25.3097048,80.3853501
177,BABERU,BALRAMPUR,0171/2017,TULSIPUR,,थाना बबेरु जनपि बााँिा िारा पंजीकृ त ि0ु अ0स0ं 171/17 की बववेचना वयान वाहिनी से घटना स्थल ग्राि बवजयीडीह थाना तुलसीपुर जनपि बलरािपुर का होना पाये जाने के कारण उक्त िुकििें की अमग्रि बववेचना थाना तुलसीपुर जनपि बलरािपुर से कराये जाने के कारण बववेचना स्थानांतररत,,"BABERU ,BALRAMPUR ",27.4307473,82.1805203
179,SAFDARGANJ,BARABANKI,0030/2016,SAFDARGANJ,,थानाध्यक्ष िारा,,"SAFDARGANJ ,BARABANKI ",26.9054317,81.3536914
181,CANTT,AGRA,0188/2016,RAKABGANJ,,"घटना स्थल थाना रकाबगंज, जनपि आगरा का होना के कारण ",,"CANTT ,AGRA ",27.1674119,78.005933
182,SUBHASH NAGAR,BALLIA,1191/2015,HALDI,,iuyiopljkulok,,"SUBHASH NAGAR ,BALLIA ",28.2006882,79.3651914
183,BAHERHI,BAREILLY,0172/2015,DEORANIA,,3 up gund adhiniyam,,"BAHERHI ,BAREILLY ",28.7780401,79.4956974
184,IZAT NAGAR,BAREILLY,0191/2015,IZAT NAGAR,,cs ke liye,,"IZAT NAGAR ,BAREILLY ",28.4025574,79.4245216
185,IZAT NAGAR,BAREILLY,0245/2015,IZAT NAGAR,,cs ke liye transfer nhi ho rhi h,,"IZAT NAGAR ,BAREILLY ",28.4025574,79.4245216
186,SUBHASH NAGAR,BAREILLY,7001/2017,CANTT,,घटना क्षेत्र थाना कैं ट का होने के कारण,,"SUBHASH NAGAR ,BAREILLY ",28.3370271,79.4070856
189,KAPTANGANJ,BASTI,0425/2017,PAIKAULIA,,घटना स्थल थाना पैकोमलया जनपि बस्ती का होने के कारण,,"KAPTANGANJ ,BASTI ",26.7431396,82.9353664
190,RUDHAULI,BASTI,6000/2017,GRP BASTI,,सम्बन्न्धत िुकििे िे घटना स्थल रेलवे स्टेशन बस्ती का होना पाया गया। मनयिानुसार बववेचना GRP बस्ती से होना आवश्यक है। अतः िुकििा GRP बस्ती को स्थानान्तररत हकया गया।,,"RUDHAULI ,BASTI ",27.0293632,82.8034614
191,KOTWALI,AMBEDKAR NAGAR,0642/2015,AKBARPUR,,घटना स्थल थाना अकबरपुर जनपि अम्बेडकर नगर होने के कारण,,"KOTWALI ,AMBEDKAR NAGAR ",26.5704569,82.3817192
193,CHAURI,JAUNPUR,0076/2016,SURERI,,ि0ु उपरोक्त की घटना ग्राि सुरेरी थाना सुरेरी जनपि जौन पुर िे होने के कारण,,"CHAURI ,JAUNPUR ",25.7464145,82.6837033
194,CHAURI,JAUNPUR,0079/2016,SURERI,,ि0ु उपरोक्त की घटना का सम्बन्ध ग्राि िलेथू थाना सुरेरी जनपि जौन पुर होने के कारण,,"CHAURI ,JAUNPUR ",25.7464145,82.6837033
195,KOIRAUNA,ALLAHABAD,0060/2015,SARAI INAYAT,,घटना स्थल वहा का होने के कारण,,"KOIRAUNA ,ALLAHABAD ",25.3106372,82.2806894
196,KOIRAUNA,ALLAHABAD,0160/2016,CIVIL LINES,,घटना मसबवल लाइन के पास की है,,"KOIRAUNA ,ALLAHABAD ",25.3106372,82.2806894
197,KOIRAUNA,MIRZAPUR,0011/2016,LALGANJ,,घटना स्थल लालगंज होने के कारण,,"KOIRAUNA ,MIRZAPUR ",25.3106372,82.2806894
198,CHAURI,VARANASI,0015/2016,MANDUADEEH,0090/2016,घटना का सम्बन्ध थाना िडुआडीह वाराणसी से होने के कारण,,"CHAURI ,VARANASI ",25.3176452,82.9739144
199,AURAI,BHADOHI,0096/2016,KOIRAUNA,0048/2016,घटना स्थल थाना कोइरौना जनपि भिोही िें होने के कारण बववेचना स्थानान्तररत की जाती है ।,,"AURAI ,BHADOHI ",25.2666462,82.5605124
200,BHADOHI,BHADOHI,0572/2015,BHADOHI,,new beginning mistake,,"BHADOHI ,BHADOHI ",25.3804531,82.5676981
201,GOPIGANJ,BHADOHI,0387/2016,UNJ,,बववेचना वहा से होने के कारण,,"GOPIGANJ ,BHADOHI ",25.2858561,82.4322347
202,GOPIGANJ,BHADOHI,0068/2017,SURIYAVAN,0073/2017,घटना स्थल सुररयााँवा होने के कारण,,"GOPIGANJ ,BHADOHI ",25.2858561,82.4322347
203,GOPIGANJ,BHADOHI,0070/2017,SURIYAVAN,0074/2017,घटना स्थल थाना सुररयााँवा होने के कारण,,"GOPIGANJ ,BHADOHI ",25.2858561,82.4322347
204,KOIRAUNA,BHADOHI,0101/2015,GOPIGANJ,,घटना स्थल वहााँ का होने के कारण,,"KOIRAUNA ,BHADOHI ",25.3106372,82.2806894
205,KOIRAUNA,BHADOHI,0106/2016,GYANPUR,,घटना स्थल ज्ञानपुर िे होने के कारण,,"KOIRAUNA ,BHADOHI ",25.3106372,82.2806894
206,UNJ,BHADOHI,0070/2015,UNJ,,बववेचक की आईडी िे िुकििा शो न करने के कारण,,"UNJ ,BHADOHI ",25.3804531,82.5676981
208,AFZALGARH,BIJNOR,0009/2017,DHAMPUR,,उक्त अ0 स0ं की घटना थाना धािपुर की हैं,,"AFZALGARH ,BIJNOR ",29.394565,78.6767477
209,DHAMPUR,BIJNOR,0148/2015,NEHTAUR,,श्रीिान एसएचओ िहोिय के आिे शानुसार,,"DHAMPUR ,BIJNOR ",29.3080255,78.5033076
210,DHAMPUR,BIJNOR,0518/2015,AFZALGARH,,श्रीिान पुमलस अधीक्षक िहोिय के आिे शानुसार,,"DHAMPUR ,BIJNOR ",29.3080255,78.5033076
212,SHIKARPUR,BULANDSHAHAR,0070/2015,AHMEDGARH,,coshikharpurके आिेशानुसार,,"SHIKARPUR ,BULANDSHAHAR ",28.2797558,78.0109764
213,GULAOTHI,HAPUR,6998/2017,HAPURNAGAR,,सीआर 26ए(बुलन्िशहर 16) /17/15075,,"GULAOTHI ,HAPUR ",28.5902291,77.7936081
215,ALI NAGAR,ALLAHABAD,0154/2015,DHOOMANGANJ,,घटना स्थल धिू नगंज का होना पाया गया,,"ALI NAGAR ,ALLAHABAD ",25.4194391,81.8149982
216,CHAKIYA,MIRZAPUR,0008/2017,KOTWALI CITY,,घटना स्थल कोतवाली मसटी मिजापट ुर क्षेत्र िें आने के कारण स्थानान्तरण का हिनांक 16.01.2017,,"CHAKIYA ,MIRZAPUR ",25.2486153,82.7657231
217,CHAKIYA,MIRZAPUR,0085/2017,JAMALPUR,,घटना स्थल जिालपुर थाना क्षेत्र िें आने के कारण,,"CHAKIYA ,MIRZAPUR ",25.2486153,82.7657231
218,SAKALDEEHA,VARANASI,0154/2016,JANSA,,उक्त िुकििें का सम्बन्ध भ्र0मन0 वाराणसी से है,,"SAKALDEEHA ,VARANASI ",25.3206306,83.0554118
219,SYED RAZA,VARANASI,0340/2015,CANTT,,घटना स्थल थाना कैं ट वाराणसी का होना पाया गया,,"SYED RAZA ,VARANASI ",25.3176452,82.9739144
220,ELIYA,VARANASI,0004/2016,LANKA,,कृ पया अवगत कराना है की ि0ु अ0स004/16 धारा 411 ipc थाना इमलया पर पंजीकृत हुआ था बववेचना िे पाया गया की घटना स्थल थाना लकां वाराणसी पाया गया उक्त िुकििे को पुमलस उपिहामनरीक्षक वाराणसी के पत्र स0ं स्तानान्तरण 66/16 हि0 07/12/16 िारा बववेचना स्थानान्तरण हकये जाने की अनुिमत प्रिान की गयी,,"ELIYA ,VARANASI ",25.3176452,82.9739144
221,KANDAWA,VARANASI,0003/2016,JANSA,,आथीक अनुसंधान वाराणसी,,"KANDAWA ,VARANASI ",25.2613568,82.9635978
222,ALI NAGAR,VARANASI,0223/2015,CANTT,,घटना स्थल थाना कैं ट का पाया गया,,"ALI NAGAR ,VARANASI ",25.3176452,82.9739144
223,ALI NAGAR,VARANASI,0009/2016,JANSA,,घटना स्थल जंसा का पाया गया,,"ALI NAGAR ,VARANASI ",25.3176452,82.9739144
224,ALI NAGAR,VARANASI,0129/2017,BARAGAON,,घटना स्थल बडागााँ का पाया गया,,"ALI NAGAR ,VARANASI ",25.3176452,82.9739144
225,CHANDAULI,VARANASI,0312/2015,LANKA,,घटना स्थल लंका थाना का है इसमलये लंका थाना पर स्थानान्तररत हो रहा है।,,"CHANDAULI ,VARANASI ",25.3176452,82.9739144
226,CHANDAULI,VARANASI,0149/2016,JANSA,,स्थानान्तरण सतकटता अमधष्ठान वाराणसी,,"CHANDAULI ,VARANASI ",25.3176452,82.9739144
227,CHANDAULI,VARANASI,0165/2016,JANSA,,स्थानान्तरण थाना औरंगाबाि बबहार हिनााँक 7.8.16,,"CHANDAULI ,VARANASI ",25.3176452,82.9739144
228,CHANDAULI,VARANASI,0412/2015,KOTWALI,,घटना स्थल थाना कोतवाली जनपि वाराणसी का होना पाया गया,,"CHANDAULI ,VARANASI ",25.3176452,82.9739144
229,CHANDAULI,VARANASI,0417/2016,SIGRA,,घटना स्थल थाना मसगरा जनपि वाराणसी का होना पाया गया,,"CHANDAULI ,VARANASI ",25.3176452,82.9739144
230,DHINA,VARANASI,0072/2016,CANTT,,िुकििें का संबंध थाना कैंट वाराणसी से होने के कारण,,"DHINA ,VARANASI ",25.3176452,82.9739144
231,MUGHAL SARAI,VARANASI,0153/2017,ROHANIYA,,घटना स्थल रोहमनय थाना के अन्तगतट आने के कारण,,"MUGHAL SARAI ,VARANASI ",25.2837754,83.1155672
232,ALI NAGAR,CHANDAULI,0218/2017,SAKALDEEHA,,घटना स्थल थाना सकलडीहा का पाया गया। एवं आिेशानुसार पुमलस अधीक्षक िहोिय चन्िौली,,"ALI NAGAR ,CHANDAULI ",25.2711026,83.1394359
233,BABURI,CHANDAULI,0094/2014,BABURI,,SOिहोिय के आिेश से,,"BABURI ,CHANDAULI ",25.1716511,83.1890148
234,CHANDAULI,CHANDAULI,0101/2015,SAKALDEEHA,,घटना स्थल थाना सकलडीहा का होना पाया गया,,"CHANDAULI ,CHANDAULI ",25.2604696,83.264538
235,CHANDAULI,CHANDAULI,7001/2016,KANDAWA,,उपरोक्त ि0ु थाना कन्िवा से सम्बन्न्धत होने के कारण स्थानान्तररत हकया जा रहा है।,,"CHANDAULI ,CHANDAULI ",25.2604696,83.264538
236,DHINA,CHANDAULI,0072/2015,KANDAWA,,िुकििें का सम्बन्ध उक्त थाने से होने के कराण,,"DHINA ,CHANDAULI ",25.3440257,83.4152942
237,DHINA,CHANDAULI,0073/2015,KANDAWA,,िुकििें का सम्बन्ध उक्त थाने से होने के कारण,,"DHINA ,CHANDAULI ",25.3440257,83.4152942
238,DHINA,CHANDAULI,0128/2016,SYED RAZA,,िुकििें का सम्बन्ध उक्त थाने से होने के कारण,,"DHINA ,CHANDAULI ",25.3440257,83.4152942
240,MANIKPUR,BANDA,0040/2017,NARAINI,0104/2017,घटना स्थल नरैनी जपनि बांिा की होने के कारण,,"MANIKPUR ,BANDA ",,
241,PAHARI,CHITRAKOOT,0048/2017,RAJAPUR,,BY ORDER COR,,"PAHARI ,CHITRAKOOT ",25.2324388,81.2160809
242,KARVI KOTWALI NAGAR,CHITRAKOOT,0272/2015,KARVI KOTWALI NAGAR,,एफआईआर बववेचक की आईडी िें ट्रान्सफर न हो पाने के कारण,,"KARVI KOTWALI NAGAR ,CHITRAKOOT ",25.2164612,80.9175766
243,PAHARI,CHITRAKOOT,0104/2015,PAHARI,,shoidसे iiif2345को भरा नही जा सकता,,"PAHARI ,CHITRAKOOT ",25.2324388,81.2160809
244,PAHARI,CHITRAKOOT,0112/2015,KARVI KOTWALI NAGAR,,घटना स्थल कोतवाली कवी नगर क्षेत्र का होने के कारण,,"PAHARI ,CHITRAKOOT ",25.2324388,81.2160809
246,GRP DEORIA,BASTI,0029/2016,GRP BASTI,0088/2016,घटना स्थल होने के कारण,,"GRP DEORIA ,BASTI ",26.5024286,83.7791283
247,GRP DEORIA,BASTI,6990/2016,GRP BASTI,,बववेचना से घटना स्थल जी0आर0पी0 चौकी खलीलाबाि रेलवे स्टेशन पाया गया,,"GRP DEORIA ,BASTI ",26.5024286,83.7791283
248,GRP BHATNI,BASTI,9997/2017,GRP BASTI,0478/2017,घटना स्थल अन्तगतट थाना grp बस्ती होने के कारण,,"GRP BHATNI ,BASTI ",,
249,GRP DEORIA,GONDA,6994/2016,GRP GONDA,,बववेचना से घटना स्थल थाना जी0आर0पी0गोण्डा का पाया गया,,"GRP DEORIA ,GONDA ",27.0374187,81.9534815
250,GRP DEORIA,GONDA,0175/2017,GRP GONDA,,घटनास्थल होने के कारण,,"GRP DEORIA ,GONDA ",27.0374187,81.9534815
251,RUDRAPUR,DEORIA,0206/2016,GAURIBAZAR,,श्रीिान् क्षेत्रामधकारी रूरपुर के आिेश के अनुपालन िे,,"RUDRAPUR ,DEORIA ",26.429255,83.6103533
252,RUDRAPUR,DEORIA,0254/2016,KOTWALI,,घटनास्थल कोतवाली सिर िेवररया होने के कारण,,"RUDRAPUR ,DEORIA ",26.429255,83.6103533
253,RUDRAPUR,DEORIA,0318/2016,MADANPUR,,प्रमतवािी ििनुपर से संबंमधत है,,"RUDRAPUR ,DEORIA ",26.429255,83.6103533
254,RUDRAPUR,DEORIA,0366/2016,GAURIBAZAR,,श्रीिान ् पुमलस अधीक्षक िहोिय के आिे शानुसार सम्बन्न्धत प्रकरण की मनष्पक्ष बववेचना हेतु स्थानांतररत हकया गया,,"RUDRAPUR ,DEORIA ",26.429255,83.6103533
256,GRP DEORIA,DEORIA,9996/2016,KOTWALI,,घटनास्थल होने के कारण,,"GRP DEORIA ,DEORIA ",26.5024286,83.7791283
257,GRP DEORIA,DEORIA,6994/2017,KOTWALI,,घटना स्थल होने के कारण,,"GRP DEORIA ,DEORIA ",26.5024286,83.7791283
258,GRP DEORIA,KANPUR CITY,0041/2016,GRP KANPUR,,घटना स्थल होने के कारण,,"GRP DEORIA ,KANPUR CITY ",26.5024286,83.7791283
259,GRP DEORIA,JHANSI,6991/2017,GRP JHANSI,,बववेचना से घटना स्थल थाना जी0आर0पी0 झांसी का होना पाया गया,,"GRP DEORIA ,JHANSI ",25.4484257,78.5684594
260,GRP DEORIA,MIRZAPUR,0114/2016,GRP MIRZAPUR,,घटना स्थल होने के कारण,,"GRP DEORIA ,MIRZAPUR ",26.5024286,83.7791283
261,GRP BHATNI,VARANASI,9998/2016,GRP VARANASI CANTT.,,चहू क घटना स्थल रे0स्टे0 वाराणसी कै ण्ट का है,,"GRP BHATNI ,VARANASI ",25.3176452,82.9739144
262,GRP DEORIA,MAU,0391/2015,GRP MAU,,घटना स्थल होने के कारण,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
263,GRP DEORIA,MAU,0042/2016,GRP MAU,,घटना स्थल होने के कारण,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
264,GRP DEORIA,MAU,6986/2016,GRP MAU,,घटनास्थल होने के कारण,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
265,GRP DEORIA,MAU,6995/2016,GRP MAU,,बववेचना से घटना स्थल थाना जी0आर0पी0 िउ होना पाया गया,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
266,GRP DEORIA,MAU,9998/2016,GRP MAU,,घटना स्थल इन्िारा जंक्सन होले के कारण,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
267,GRP DEORIA,MAU,6998/2017,GRP MAU,,घटनास्थल होने के कारण,,"GRP DEORIA ,MAU ",26.5024286,83.7791283
268,GRP BHATNI,MAU,9993/2016,GRP MAU,1084/2016,घटना स्थल रे0स्टे0 पनीयरा थाना GRPिऊ से सम्बन्न्धत होने के कारण,,"GRP BHATNI ,MAU ",,
269,GRP DEORIA,GORAKHPUR,6982/2016,GRP GORAKHPUR,,घटना स्थल थाना जी0आर0पी0 गोरखपुर का होने के कारण,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
270,GRP DEORIA,GORAKHPUR,6987/2016,GRP GORAKHPUR,,घटनास्थल होने के कारण,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
271,GRP DEORIA,GORAKHPUR,6989/2016,GRP GORAKHPUR,,घटनास्थल होने के काऱण,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
272,GRP DEORIA,GORAKHPUR,6991/2016,CANTT,,घटनास्थल का पाया जाना।,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
273,GRP DEORIA,GORAKHPUR,9999/2016,GRP GORAKHPUR,,बववेचना से घटना स्थल थाना जी0आर0पी0 गोरखपुर का होना पाया गया,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
274,GRP DEORIA,GORAKHPUR,6995/2017,GRP GORAKHPUR,,घटना स्थल होने के कारण,,"GRP DEORIA ,GORAKHPUR ",26.7605545,83.3731675
275,GRP BHATNI,GORAKHPUR,0000/2016,GRP GORAKHPUR,,घटना स्थल थाना जी0आर0पी0 गोरखपुर का होने के कारण,,"GRP BHATNI ,GORAKHPUR ",26.7605545,83.3731675
276,GRP BHATNI,GORAKHPUR,9994/2016,GRP GORAKHPUR,,घटना स्थल रे0स्टे0GRP गोरखपुर PF न0 7 होने के कारण,,"GRP BHATNI ,GORAKHPUR ",26.7605545,83.3731675
277,GRP BHATNI,GORAKHPUR,9996/2016,GRP GORAKHPUR,,घटना स्थल गोरखपुर रे0स्टे0 का होने के कारण,,"GRP BHATNI ,GORAKHPUR ",26.7605545,83.3731675
278,GRP DEORIA,SANT KABEER NAGAR,0117/2016,KHALILABAD,,घटना स्थल होने के कारण,,"GRP DEORIA ,SANT KABEER NAGAR ",26.9566187,82.986443
279,GRP BHATNI,FIROZABAD,9997/2016,GRP TUNDLA JUNCTION,,चहुाँ क घटना स्थल GRP टुण्डला का है। अतः FIR स्थानान्तररत की जाती है।,,"GRP BHATNI ,FIROZABAD ",27.1591961,78.3957331
280,GRP BHATNI,LUCKNOW,9995/2016,GRP CHARBAGH LUCKNOW,,घटना स्थल रे0स्टे0बािशाहनगर से सम्बन्न्धत होने के कारण,,"GRP BHATNI ,LUCKNOW ",26.8466937,80.946166
281,GRP BHATNI,LUCKNOW,0000/2017,GRP CHARBAGH LUCKNOW,,घटनास्थलअन्तगतट थानाGRPचारबागलखनऊकाहोनेके कारण,,"GRP BHATNI ,LUCKNOW ",26.8466937,80.946166
283,MARHARA,ETAH,0295/2016,MIRHACHI,,आिेश श्रीिान क्षेत्रामधकारी सिर िहोिय जनपि एटा,,"MARHARA ,ETAH ",27.7362091,78.5686074
284,JALESAR,ETAH,0345/2016,SAKRAULI,,अमभयोग की बववेचना थाना सकरौली िारा की जा रही है,,"JALESAR ,ETAH ",27.4714557,78.3102489
285,JALESAR,AGRA,0712/2016,CHHATTA,,बववेचना का सम्बन्ध थाना छत्ता जनपि आगरा से होने के कारण,,"JALESAR ,AGRA ",27.2408984,78.0510655
286,KOTWALI,AGRA,1281/2016,SIKANDARA,,श्रीिान पुमलस उप िहामनरीक्षक के आिेशानुसार थाना मसकन्िरा पर पंजीकृ त ि0ु अ0स0ं 810/16 धारा 379 भािबव िें सिायोन्जत कर अमग्रि बववेचना थाना मसकन्िरा से की जायेगी,,"KOTWALI ,AGRA ",27.2244285,78.0103571
287,MARHARA,AGRA,0017/2016,ETMADPUR,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशानुशार आिेश स0 सीओरएएचआर एटा बववे0 स्था0 06/2016/2055 हि0 26.02.2016,,"MARHARA ,AGRA ",27.1766701,78.0080745
288,MARHARA,ALIGARH,0149/2016,KOTWALI NAGAR,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशानुसार आिेश स0 सीओएएच आर एटा बववे0स्था0 13/2016/6148 हि0 28.06.2016 के अनुपालन िे,,"MARHARA ,ALIGARH ",27.7362091,78.5686074
289,PILUA,ALIGARH,0160/2015,AKRABAD,,"पत्र संख्या अ 556/15 (अपराध) हिनांक अगस्त 17, 2015 श्रीिान ् वररष्ठ पुमलस अधीक्षक जनपि एटा िारा श्रीिान ् वररष्ठ पुमलस अधीक्षक अलीगढ़ को सूचनाथ।ट ",,"PILUA ,ALIGARH ",27.8973944,78.0880129
290,NAYAGAON,FATEHGARH,0046/2016,MERAPUR,,घटना स्थल थाना िेरापुर न्जला फरूट खाबाि का होने पर,,"NAYAGAON ,FATEHGARH ",27.3672904,79.6221368
291,ALIGANJ,FATEHGARH,0536/2014,FATEHGARH KOTWALI,,घटना स्थल फरूटखाबाि का होने का कारण,,"ALIGANJ ,FATEHGARH ",26.8983705,80.9491069
292,PILUA,BARABANKI,0322/2015,MOHAMMADPUR KHALA,,"पत्र स0ं अ 572/15(अपराध) हिनांक हिसम्बर 11, 2015 श्रीिान ् वररष्ठ पुमलस अधीक्षक जनपि एटा िारा श्रीिान ् वररष्ठ पुमलस अधीक्षक बाराबंकी को सूचनाथ।ट ",,"PILUA ,BARABANKI ",26.9268042,81.1833809
293,AWAGARH,KANPUR DEHAT,0389/2015,SIKANDARA,,"ि0ु अ0स0ं 389/15 धारा 41/102 CrPC, 411 IPC िें बरािि ट्रेक्टर थाना मसकन्िरा से चोरी हकया गया था न्जसके सम्बन्ध िें थाना मसकन्िरा न्जला कानपुर िेहात िें ि0ु अ0स0ं 226/17 धारा 379 IPC पंजीकृत है बरािि ट्रेक्टर को थाना मसकन्िरा के ि0ु अ0स0ं 226/17 क े ब व व े च क क े ह व ा ल े ह क य ा ग य ा त थ ा ि 0ु अ 0 स 0ं 3 8 9 / 1 5 ध ा र ा 41/102 CrPC, 411 IPC की बववेचना थाना मसकन्िरा स्थानान्तरण",,"AWAGARH ,KANPUR DEHAT ",26.526707,79.8296743
294,JALESAR,HATHRAS,0764/2016,HATHRAS JUNCTION,,बववेचना का सम्बन्ध थाना हाथरस जंक्शन जनपि हाथरस से होने के कारण,,"JALESAR ,HATHRAS ",27.5866333,78.0697197
295,MARHARA,HATHRAS,0266/2015,SIKANDRA RAO,,आिेश श्रीिान पुमलस उपिहामनरीक्षक अलीगढ पररक्षेत्र अलीगढ के आिेशा के अनुपालन िे आिेश स0पत्रांक सीओएएच आर एटा मनन0े स्था0 15/2015/553 हि0 18/8/2015,,"MARHARA ,HATHRAS ",27.5980718,78.0492265
296,MARHARA,HATHRAS,0483/2015,HATHRAS JUNCTION,,आिेश श्रीिान उपिहामनरीक्षक अलीगढ के आिेशानुसार आिेश स0 सीओएएचआर एटा बववे0 अनु0 031/2016/774 हि0 20.1.2016,,"MARHARA ,HATHRAS ",27.5980718,78.0492265
297,PILUA,KASGANJ,0190/2015,KASGANJ,,श्रीिान् उप िहामनरीक्षक अलीगढ़ पररक्षेत्र अलीगढ़ के आिेश संख्या सीओएएच आर एटा (बववे. स्था. 05)/2015/15621 हिनांक 10.10.2015 के िारा बववेचना जनपि एटा से क्राइि ब्रान्च जनपि कासगंज स्थानान्तररत करने हेतु। पत्रांक अ 566/2015 हिनांक 23.10.15,,"PILUA ,KASGANJ ",27.808529,78.6461098
298,ALIGANJ,KASGANJ,0333/2015,KASGANJ,,घटना स्थल जनपि कासगंज कोतवाली कासगंज का होने के कारण,,"ALIGANJ ,KASGANJ ",27.808529,78.6461098
299,SAKEET,AURAIYA,0286/2015,AIRWA KATRA,,थाना से सम्बन्न्धत,,"SAKEET ,AURAIYA ",26.4605377,79.5112528
301,CIVIL LINES,FATEHGARH,0193/2017,KAMPIL,0236/2017,Investitaion transfer by the order sho,,"CIVIL LINES ,FATEHGARH ",27.3636457,79.6365257
302,BASREHAR,ETAWAH,0206/2015,KOTWALI,,घटना स्थल कोतवाली का है,,"BASREHAR ,ETAWAH ",26.8500747,79.0906193
303,BALRAI,ETAWAH,0024/2016,JASWANT NAGAR,0202/2016,घटनास्थल का थाना जसवन्तनगर के क्षेत्र का होने के कारण,,"BALRAI ,ETAWAH ",26.9208482,78.830124
304,KOTWALI,ETAWAH,0758/2015,CHAKAR NAGAR,,घटना स्थल चकरनगर का होने के कारण,,"KOTWALI ,ETAWAH ",26.7829103,79.027659
305,KOTWALI,ETAWAH,0825/2015,BHARTHANA,,अमधकारीगणों के आिे शानुसार,,"KOTWALI ,ETAWAH ",26.7829103,79.027659
306,KOTWALI,ETAWAH,0484/2017,JASWANT NAGAR,,घटना स्थल जसवन्तनगर का होने के कारण,,"KOTWALI ,ETAWAH ",26.7829103,79.027659
307,SEFAI,FIROZABAD,0109/2016,SIRSA GANJ,,बववेचना थाना मसरसागंज से की जायेगी,,"SEFAI ,FIROZABAD ",27.1591961,78.3957331
309,KUMARGANJ,PRATAPGARH,0000/2016,KOHANDAUR,,एक अिि चोरी की िो0सा0 सम्बन्न्धत थाना क्षेत्र से है।,,"KUMARGANJ ,PRATAPGARH ",26.5467759,81.8401957
310,KOTWALI BIKAPUR,PRATAPGARH,0307/2015,KOTWALI CITY,,चोरी की िोटर साइहकल सम्बन्न्धत थाने से है,,"KOTWALI BIKAPUR ,PRATAPGARH ",26.596963,82.1332818
312,HAIDERGANJ,FAIZABAD,0000/2016,KOTWALI NAGAR,,स्थानान्तरण को0नगर,,"HAIDERGANJ ,FAIZABAD ",26.7729751,82.1457934
313,KOTWALI NAGAR,FAIZABAD,0037/2016,KOTWALI AYODHYA,,घटना स्थल थाना कोतवाली अयोध्या होने के कारण,,"KOTWALI NAGAR ,FAIZABAD ",26.7729751,82.1457934
314,KOTWALI NAGAR,FAIZABAD,0179/2016,KOTWALI AYODHYA,,िुकििा उपरोक्त िें घटना स्थल कोतवाली अयोध्या होने के कारण बववेचना पूवट िें ही थाना कोतवाली अयोध्या स्थानान्तररत की जा च कु ी ह ै,,"KOTWALI NAGAR ,FAIZABAD ",26.7729751,82.1457934
315,KOTWALI NAGAR,FAIZABAD,0320/2016,MAHILA THANA,,िहहला उत्पीडन का अमभयोग होने के कारण बववेचना िहहला थाना जनपि फै जाबाि स्थानान्तररत की जाती है,,"KOTWALI NAGAR ,FAIZABAD ",26.7729751,82.1457934
316,RAUNAHI,FAIZABAD,0085/2015,CANTT,,श्रीिान क्षेत्रामधकारी सिर िहोिय के आिेशानुसार हिनााँक 28.4.15 को थाना कैण्ट जनपि फैजाबाि से बववेचना होने के आिेशानुसार,,"RAUNAHI ,FAIZABAD ",26.7729751,82.1457934
317,RAUNAHI,FAIZABAD,0243/2015,RAUNAHI,,सहबन CO सिर से उ0मन0 कु 0 रत्ना को स्थानांतरण,,"RAUNAHI ,FAIZABAD ",26.7729751,82.1457934
318,RAUNAHI,FAIZABAD,0316/2015,PURAKALANDAR,,घटना स्थल प्रभात नगर थाना पूरा कलन्िर पाये जाने के कारण,,"RAUNAHI ,FAIZABAD ",26.7729751,82.1457934
319,RAUNAHI,FAIZABAD,0230/2016,TARUN,,हस्व आिेश श्रीिान वररष्ठ पुमलस अधीक्षक िहोिय जनपि फैजाबाि के आिेशानुसार हिनााँक 23.7.16को स्थानान्तररत थाना तारून जनपि फै जाबाि की गयी ।,,"RAUNAHI ,FAIZABAD ",26.7729751,82.1457934
320,RAMJANAM BHUMI,FAIZABAD,0154/2015,KOTWALI AYODHYA,,बववेचना थाना को0 अयोध्या से प्रचमलत,,"RAMJANAM BHUMI ,FAIZABAD ",26.7945472,82.1965751
